ID;incident_dart;x;y;z
631;4940;0.649519;0.000000;-0.375000
632;4948;0.678525;-0.125000;-0.391747
633;4956;0.757772;-0.216506;-0.437500
634;4964;0.866025;-0.250000;-0.500000
635;4972;0.974279;-0.216506;-0.562500
636;4980;1.053525;-0.125000;-0.608253
637;4994;0.991692;0.000000;-0.760952
638;4996;0.965119;0.125000;-0.740562
639;5004;0.892523;0.216506;-0.684856
640;5012;0.793353;0.250000;-0.608761
641;5020;0.694184;0.216506;-0.532666
642;5028;0.621587;0.125000;-0.476961
643;5036;0.595015;0.000000;-0.456571
644;5044;0.621587;-0.125000;-0.476961
645;5052;0.694184;-0.216506;-0.532666
646;5060;0.793353;-0.250000;-0.608761
647;5068;0.892523;-0.216506;-0.684856
648;5076;0.965119;-0.125000;-0.740562
649;5090;0.883883;0.000000;-0.883884
650;5092;0.860200;0.125000;-0.860200
651;5100;0.795495;0.216506;-0.795495
652;5108;0.707107;0.250000;-0.707107
653;5116;0.618718;0.216506;-0.618719
654;5124;0.554014;0.125000;-0.554014
655;5132;0.530330;0.000000;-0.530330
